,Gene,RNA tissue category,RNA TS TPM
4152,LRIT2,Group enriched,cerebral cortex: 1.0;skin: 3.1
4153,LRMP,Tissue enhanced,lymph node: 207.1;tonsil: 185.6
4154,LRP1B,Tissue enhanced,cerebral cortex: 16.4;thyroid gland: 9.6
4155,LRP2,Group enriched,kidney: 49.8;parathyroid gland: 155.8;thyroid gland: 37.0
4156,LRP2BP,Tissue enhanced,fallopian tube: 12.3;testis: 20.3
4157,LRP4,Tissue enhanced,cerebral cortex: 35.4;skin: 37.9
4158,LRP8,Group enriched,cerebral cortex: 25.2;testis: 46.9;thyroid gland: 87.5
4159,LRR1,Tissue enhanced,testis: 33.6
4160,LRRC10,Tissue enriched,heart muscle: 22.6
4161,LRRC10B,Tissue enriched,fallopian tube: 47.3
4162,LRRC14B,Group enriched,heart muscle: 13.6;skeletal muscle: 30.1
4163,LRRC17,Tissue enhanced,ovary: 99.1
4164,LRRC18,Group enriched,fallopian tube: 12.1;testis: 25.3
4165,LRRC19,Group enriched,colon: 35.9;duodenum: 23.7;gallbladder: 9.4;kidney: 45.1;rectum: 35.3;small intestine: 34.7
4166,LRRC2,Group enriched,heart muscle: 30.0;skeletal muscle: 55.9;thyroid gland: 37.0
4167,LRRC20,Tissue enhanced,skeletal muscle: 120.5
4168,LRRC23,Group enriched,fallopian tube: 165.3;testis: 43.3
4169,LRRC24,Tissue enhanced,parathyroid gland: 3.6;prostate: 4.5
4170,LRRC25,Tissue enhanced,appendix: 30.4;spleen: 40.6
4171,LRRC26,Group enriched,colon: 10.2;prostate: 35.5;salivary gland: 26.5
4172,LRRC27,Tissue enhanced,testis: 100.8
4173,LRRC30,Tissue enriched,skeletal muscle: 5.6
4174,LRRC31,Group enriched,colon: 18.2;duodenum: 8.8;rectum: 24.3;small intestine: 11.0;stomach: 9.8
4175,LRRC34,Group enriched,fallopian tube: 12.2;testis: 26.8
4176,LRRC36,Tissue enriched,testis: 62.5
4177,LRRC37A,Tissue enriched,testis: 13.4
4178,LRRC37A2,Tissue enriched,testis: 13.0
4179,LRRC37A3,Tissue enhanced,testis: 31.6
4180,LRRC38,Group enriched,adrenal gland: 19.9;skeletal muscle: 10.5
4181,LRRC39,Group enriched,heart muscle: 81.3;skeletal muscle: 175.6
4182,LRRC3B,Group enriched,cerebral cortex: 19.2;skeletal muscle: 3.9;testis: 13.0
4183,LRRC4,Tissue enhanced,cerebral cortex: 52.8
4184,LRRC43,Group enriched,fallopian tube: 30.3;testis: 8.5
4185,LRRC46,Group enriched,fallopian tube: 120.7;testis: 55.6
4186,LRRC4B,Tissue enhanced,cerebral cortex: 61.4
4187,LRRC4C,Tissue enriched,cerebral cortex: 34.4
4188,LRRC52,Tissue enriched,testis: 18.6
4189,LRRC55,Tissue enhanced,cerebral cortex: 6.6
4190,LRRC56,Tissue enhanced,testis: 3.9
4191,LRRC6,Tissue enhanced,fallopian tube: 31.3;testis: 46.9
4192,LRRC63,Group enriched,cerebral cortex: 1.1;epididymis: 1.7;testis: 2.4
4193,LRRC66,Tissue enhanced,duodenum: 22.5;small intestine: 20.5
4194,LRRC69,Tissue enhanced,testis: 5.2
4195,LRRC7,Tissue enhanced,cerebral cortex: 14.4
4196,LRRC71,Group enriched,fallopian tube: 20.1;testis: 22.2
4197,LRRC72,Tissue enriched,testis: 4.3
4198,LRRC73,Tissue enhanced,fallopian tube: 8.3;testis: 24.7
4199,LRRC74A,Tissue enriched,testis: 7.1
4200,LRRC74B,Tissue enhanced,fallopian tube: 6.0;testis: 1.9
4201,LRRC75A,Tissue enhanced,duodenum: 11.0
4202,LRRC75B,Tissue enhanced,testis: 2.2
4203,LRRC8B,Tissue enhanced,cerebral cortex: 37.6
4204,LRRC9,Tissue enhanced,parathyroid gland: 3.5;testis: 10.8
4205,LRRCC1,Tissue enhanced,testis: 57.8
4206,LRRD1,Tissue enriched,testis: 30.0
4207,LRRIQ1,Group enriched,fallopian tube: 13.7;testis: 25.7
4208,LRRIQ3,Tissue enriched,testis: 37.1
4209,LRRIQ4,Tissue enriched,testis: 4.3
4210,LRRN1,Tissue enhanced,cerebral cortex: 44.3
4211,LRRN2,Tissue enhanced,cerebral cortex: 23.4;parathyroid gland: 21.2
4212,LRRN3,Tissue enhanced,adrenal gland: 30.8;cerebral cortex: 31.2;testis: 29.1;thyroid gland: 33.6
4213,LRRN4,Tissue enriched,lung: 13.5
4214,LRRTM1,Tissue enhanced,cerebral cortex: 13.3;salivary gland: 4.9
4215,LRRTM2,Tissue enriched,cerebral cortex: 29.0
4216,LRRTM3,Tissue enriched,cerebral cortex: 22.6
4217,LRRTM4,Tissue enriched,cerebral cortex: 21.3
4218,LRTM1,Tissue enhanced,skeletal muscle: 9.3;spleen: 8.9
4219,LRTM2,Tissue enriched,cerebral cortex: 8.3
4220,LRWD1,Tissue enriched,testis: 209.0
4221,LSAMP,Tissue enhanced,cerebral cortex: 102.7
4222,LSMEM1,Tissue enriched,skeletal muscle: 31.8
4223,LSMEM2,Tissue enhanced,heart muscle: 15.4;skeletal muscle: 5.4
4224,LST1,Tissue enhanced,bone marrow: 68.7;spleen: 48.9
4225,LTA,Tissue enhanced,lymph node: 1.5
4226,LTB,Group enriched,appendix: 18.6;lymph node: 22.1;spleen: 25.8;tonsil: 10.1
4227,LTB4R,Tissue enhanced,skin: 165.8
4228,LTB4R2,Tissue enhanced,skin: 40.5
4229,LTC4S,Tissue enhanced,fallopian tube: 3.7
4230,LTF,Tissue enhanced,"bone marrow: 2804.3;cervix, uterine: 1030.7"
4231,LUM,Tissue enhanced,gallbladder: 929.5
4232,LURAP1,Tissue enhanced,parathyroid gland: 18.1;thyroid gland: 17.6
4233,LUZP2,Group enriched,adrenal gland: 8.6;cerebral cortex: 33.0
4234,LUZP4,Tissue enriched,testis: 15.7
4235,LVRN,Group enriched,adipose tissue: 11.8;placenta: 31.5
4236,LY6D,Group enriched,esophagus: 631.6;skin: 717.0
4237,LY6G5C,Tissue enhanced,cerebral cortex: 1.5
4238,LY6G6C,Tissue enriched,skin: 64.3
4239,LY6G6D,Tissue enhanced,seminal vesicle: 2.0
4240,LY6G6E,Tissue enhanced,skin: 1.2;thyroid gland: 1.0
4241,LY6H,Tissue enriched,cerebral cortex: 38.0
4242,LY6K,Tissue enhanced,testis: 29.0
4243,LY6L,Tissue enhanced,epididymis: 1.1
4244,LY86,Tissue enhanced,lymph node: 82.3
4245,LY9,Tissue enhanced,lymph node: 34.5;spleen: 28.2;tonsil: 28.3
4246,LYAR,Tissue enriched,testis: 185.7
4247,LYG1,Group enriched,kidney: 22.0;testis: 4.8
4248,LYG2,Tissue enriched,testis: 2.5
4249,LYL1,Tissue enhanced,bone marrow: 22.9;spleen: 20.7
4250,LYN,Tissue enhanced,spleen: 161.1
4251,LYNX1,Tissue enhanced,cerebral cortex: 94.6
4252,LYNX1,Group enriched,esophagus: 315.6;skin: 108.1
4253,LYNX1,Tissue enhanced,esophagus: 5.8
4254,LYPD1,Group enriched,cerebral cortex: 27.2;fallopian tube: 127.3
4255,LYPD2,Tissue enhanced,esophagus: 99.1;tonsil: 24.0
4256,LYPD3,Group enriched,esophagus: 673.8;skin: 593.4
4257,LYPD4,Tissue enriched,testis: 165.3
4258,LYPD5,Tissue enhanced,skin: 43.7
4259,LYPD6,Tissue enhanced,gallbladder: 17.3;placenta: 22.5
4260,LYPD6B,Tissue enhanced,gallbladder: 58.6;skin: 56.5
4261,LYPD8,Group enriched,colon: 216.6;rectum: 141.8
4262,LYVE1,Tissue enhanced,adipose tissue: 157.5;placenta: 213.1
4263,LYZL1,Tissue enriched,testis: 53.4
4264,LYZL2,Tissue enriched,testis: 67.0
4265,LYZL4,Tissue enriched,testis: 43.8
4266,LZTS1,Tissue enriched,parathyroid gland: 125.4
4267,LZTS3,Tissue enhanced,cerebral cortex: 58.6
4268,M1AP,Tissue enhanced,testis: 14.8
4269,MAATS1,Tissue enhanced,fallopian tube: 22.7;testis: 15.8
4270,MAB21L1,Tissue enhanced,adrenal gland: 5.5;breast: 5.2
4271,MAB21L2,Tissue enhanced,colon: 18.3;smooth muscle: 26.2
4272,MAB21L3,Group enriched,esophagus: 7.5;skin: 7.2
4273,MACROD1,Tissue enriched,skeletal muscle: 106.6
4274,MADCAM1,Tissue enhanced,appendix: 17.8;spleen: 11.4
4275,MAEL,Tissue enriched,testis: 282.8
4276,MAF,Tissue enhanced,parathyroid gland: 149.6
4277,MAFA,Group enriched,skeletal muscle: 8.6;testis: 2.5
4278,MAFB,Tissue enriched,parathyroid gland: 689.3
4279,MAG,Tissue enriched,cerebral cortex: 163.6
4280,MAGEA1,Tissue enriched,testis: 7.3
4281,MAGEA10,Group enriched,placenta: 13.5;testis: 4.8
4282,MAGEA11,Group enriched,epididymis: 25.8;testis: 6.9
4283,MAGEA12,Tissue enriched,testis: 4.9
4284,MAGEA2,Tissue enriched,testis: 6.9
4285,MAGEA2B,Tissue enriched,testis: 1.9
4286,MAGEA3,Tissue enriched,testis: 12.8
4287,MAGEA4,Tissue enriched,testis: 44.7
4288,MAGEA6,Tissue enriched,testis: 10.9
4289,MAGEA8,Tissue enriched,placenta: 19.0
4290,MAGEA9B,Tissue enriched,testis: 17.3
4291,MAGEB1,Tissue enriched,testis: 29.2
4292,MAGEB10,Tissue enriched,testis: 4.6
4293,MAGEB16,Tissue enriched,testis: 6.2
4294,MAGEB17,Tissue enriched,testis: 2.9
4295,MAGEB18,Tissue enriched,testis: 1.3
4296,MAGEB2,Tissue enriched,testis: 54.2
4297,MAGEB3,Group enriched,epididymis: 21.5;testis: 9.5
4298,MAGEB4,Group enriched,epididymis: 34.1;testis: 17.0
4299,MAGEB6,Tissue enriched,testis: 5.7
4300,MAGEC1,Tissue enriched,testis: 13.3
4301,MAGEC2,Tissue enriched,testis: 36.8
4302,MAGEC3,Tissue enhanced,testis: 1.0
4303,MAGED4B,Tissue enhanced,cerebral cortex: 35.1
4304,MAGEE1,Tissue enhanced,cerebral cortex: 29.8
4305,MAGEE2,Group enriched,adrenal gland: 1.0;cerebral cortex: 3.3
4306,MAGEH1,Tissue enriched,epididymis: 616.6
4307,MAGEL2,Tissue enhanced,cerebral cortex: 3.3
4308,MAGI2,Tissue enhanced,cerebral cortex: 46.2;parathyroid gland: 38.6
4309,MAJIN,Tissue enriched,testis: 41.6
4310,MAK,Group enriched,fallopian tube: 9.7;parathyroid gland: 10.2;testis: 20.4
4311,MAL,Tissue enriched,esophagus: 2449.8
4312,MALL,Tissue enhanced,esophagus: 222.2;parathyroid gland: 321.0
4313,MALRD1,Group enriched,duodenum: 30.8;small intestine: 34.4
4314,MAML1,Tissue enhanced,"cervix, uterine: 15.3"
4315,MAMLD1,Tissue enhanced,testis: 18.7
4316,MAMSTR,Tissue enhanced,adrenal gland: 21.4;skeletal muscle: 31.4
4317,MANEAL,Tissue enhanced,cerebral cortex: 27.2
4318,MANSC4,Tissue enhanced,testis: 3.2
4319,MAP1A,Tissue enriched,cerebral cortex: 165.6
4320,MAP1B,Tissue enriched,cerebral cortex: 187.6
4321,MAP1LC3C,Tissue enhanced,breast: 12.7;placenta: 16.1
4322,MAP2,Tissue enriched,cerebral cortex: 296.5
4323,MAP3K10,Tissue enhanced,cerebral cortex: 31.1
4324,MAP3K15,Tissue enriched,adrenal gland: 14.3
4325,MAP3K19,Group enriched,fallopian tube: 28.5;testis: 7.8
4326,MAP3K6,Tissue enhanced,skin: 114.9
4327,MAP4K1,Tissue enhanced,lymph node: 37.3;spleen: 23.8;tonsil: 27.2
4328,MAP6,Tissue enhanced,cerebral cortex: 68.1;fallopian tube: 65.5
4329,MAP6D1,Group enriched,cerebral cortex: 39.7;skeletal muscle: 10.3
4330,MAP7D2,Tissue enhanced,cerebral cortex: 49.2;epididymis: 45.6
4331,MAP9,Tissue enhanced,parathyroid gland: 79.9
4332,MAPK10,Tissue enhanced,cerebral cortex: 113.0
4333,MAPK12,Tissue enriched,skeletal muscle: 91.5
4334,MAPK15,Tissue enhanced,fallopian tube: 43.7
4335,MAPK4,Tissue enhanced,adrenal gland: 29.7;cerebral cortex: 33.4;parathyroid gland: 60.1
4336,MAPK8IP1,Tissue enriched,cerebral cortex: 177.1
4337,MAPK8IP2,Tissue enriched,cerebral cortex: 78.2
4338,MAPRE3,Tissue enhanced,cerebral cortex: 177.3
4339,MAPT,Tissue enriched,cerebral cortex: 116.2
4340,2-Mar,Tissue enhanced,parathyroid gland: 338.5
4341,10-Mar,Tissue enriched,testis: 144.4
4342,11-Mar,Tissue enriched,testis: 90.3
4343,4-Mar,Tissue enriched,cerebral cortex: 9.1
4344,MARCO,Tissue enhanced,appendix: 123.2;lung: 288.2
4345,MARVELD2,Tissue enhanced,thyroid gland: 19.7
4346,MARVELD3,Tissue enhanced,small intestine: 37.1
4347,MAS1,Tissue enhanced,cerebral cortex: 1.8
4348,MAS1L,Tissue enhanced,"cervix, uterine: 5.1"
4349,MASP1,Tissue enhanced,"cervix, uterine: 135.4"
4350,MASP2,Tissue enriched,liver: 105.5
4351,MAST1,Tissue enriched,cerebral cortex: 35.2
4352,MAT1A,Tissue enriched,liver: 689.6
4353,MATK,Tissue enhanced,cerebral cortex: 22.0
4354,MATN3,Tissue enhanced,lung: 20.2;placenta: 16.5
4355,MATN4,Tissue enhanced,breast: 3.0;pancreas: 5.9;skin: 3.5
4356,MB,Group enriched,heart muscle: 6603.8;skeletal muscle: 12284.0
4357,MBD3L1,Tissue enriched,testis: 34.5
4358,MBL2,Tissue enriched,liver: 141.4
4359,MBNL3,Group enriched,placenta: 242.1;testis: 81.4
4360,MBOAT2,Tissue enhanced,parathyroid gland: 50.1
4361,MBOAT4,Tissue enhanced,fallopian tube: 2.9;stomach: 3.5
4362,MBP,Tissue enriched,cerebral cortex: 2930.7
4363,MC1R,Tissue enhanced,testis: 13.7
4364,MC2R,Tissue enriched,adrenal gland: 50.6
4365,MC4R,Group enriched,cerebral cortex: 2.9;fallopian tube: 5.0
4366,MC5R,Tissue enriched,epididymis: 3.0
4367,MCC,Tissue enhanced,ovary: 87.5;parathyroid gland: 66.9
4368,MCCD1,Tissue enriched,kidney: 3.5
4369,MCEMP1,Group enriched,appendix: 27.9;bone marrow: 43.9;lung: 110.4
4370,MCF2,Group enriched,adrenal gland: 38.3;cerebral cortex: 8.7;epididymis: 15.0;ovary: 12.9;seminal vesicle: 24.0;testis: 34.6
4371,MCF2L2,Group enriched,adrenal gland: 10.2;cerebral cortex: 17.2;parathyroid gland: 7.7;spleen: 3.5;testis: 4.7
4372,MCHR1,Tissue enhanced,cerebral cortex: 8.6
4373,MCHR2,Group enriched,cerebral cortex: 8.6;testis: 4.3
4374,MCM8,Tissue enhanced,testis: 27.6
4375,MCMDC2,Tissue enriched,testis: 21.6
4376,MCOLN3,Tissue enhanced,adrenal gland: 57.8;parathyroid gland: 42.8
4377,MDC1,Tissue enhanced,testis: 9.6
4378,MDFI,Tissue enhanced,adipose tissue: 35.9
4379,MDGA2,Group enriched,cerebral cortex: 6.2;testis: 6.9
4380,MDH1B,Group enriched,fallopian tube: 35.3;testis: 43.8
4381,MDS2,Tissue enhanced,lymph node: 7.7;tonsil: 4.0
4382,MED12L,Tissue enhanced,cerebral cortex: 26.6
4383,MED26,Tissue enriched,testis: 42.0
4384,MEDAG,Tissue enhanced,adipose tissue: 153.5
4385,MEF2B,Group enriched,appendix: 17.6;lymph node: 45.7;tonsil: 27.2
4386,MEFV,Tissue enhanced,appendix: 8.1;spleen: 7.0
4387,MEGF10,Tissue enriched,cerebral cortex: 15.8
4388,MEGF11,Group enriched,cerebral cortex: 13.0;fallopian tube: 12.3
4389,MEGF6,Tissue enhanced,skin: 48.2
4390,MEI1,Tissue enhanced,testis: 18.6
4391,MEI4,Tissue enhanced,kidney: 4.5;testis: 4.8;thyroid gland: 3.9
4392,MEIG1,Group enriched,fallopian tube: 6.7;testis: 13.0
4393,MEIKIN,Tissue enriched,testis: 13.4
4394,MEIOB,Tissue enriched,testis: 71.4
4395,MEIOC,Tissue enriched,testis: 86.2
4396,MEIS3,Tissue enhanced,endometrium: 82.4
4397,MELK,Tissue enhanced,testis: 16.9
4398,MELTF,Tissue enhanced,parathyroid gland: 32.3;salivary gland: 28.2
4399,MEOX1,Tissue enhanced,adipose tissue: 25.3
4400,MEOX2,Tissue enhanced,adipose tissue: 28.5;placenta: 57.7
4401,MEP1A,Group enriched,colon: 117.8;duodenum: 282.2;rectum: 114.3;small intestine: 538.5
4402,MEP1B,Group enriched,duodenum: 251.4;small intestine: 402.2
4403,MEPE,Tissue enriched,cerebral cortex: 4.0
4404,MESP1,Tissue enhanced,adipose tissue: 4.8;prostate: 4.8
4405,MEST,Tissue enriched,placenta: 1087.6
4406,METRN,Tissue enhanced,cerebral cortex: 64.7
4407,METTL11B,Tissue enhanced,heart muscle: 1.5
4408,METTL18,Tissue enhanced,parathyroid gland: 44.5
4409,METTL21C,Tissue enriched,epididymis: 42.2
4410,METTL24,Tissue enhanced,smooth muscle: 20.5
4411,METTL7B,Tissue enhanced,epididymis: 137.1;liver: 122.2
4412,MEX3A,Tissue enhanced,endometrium: 5.9;ovary: 5.9
4413,MEX3B,Tissue enhanced,testis: 41.6
4414,MFAP2,Tissue enhanced,gallbladder: 100.7
4415,MFAP3L,Tissue enhanced,testis: 74.1
4416,MFSD14B,Tissue enriched,parathyroid gland: 255.7
4417,MFSD2A,Tissue enhanced,epididymis: 116.7;seminal vesicle: 110.9
4418,MFSD2B,Tissue enriched,bone marrow: 7.2
4419,MFSD4A,Tissue enhanced,kidney: 75.4;stomach: 111.7
4420,MFSD6L,Tissue enhanced,testis: 29.8
4421,MGAM,Tissue enhanced,duodenum: 59.4;small intestine: 97.2
4422,MGAM2,Group enriched,duodenum: 11.8;small intestine: 10.4
4423,MGARP,Tissue enriched,adrenal gland: 267.2
4424,MGAT3,Tissue enhanced,cerebral cortex: 38.6
4425,MGAT4C,Group enriched,cerebral cortex: 5.9;epididymis: 6.7;testis: 5.5;thyroid gland: 15.9
4426,MGAT4D,Tissue enriched,testis: 49.0
4427,MGAT5B,Tissue enriched,cerebral cortex: 23.1
4428,MGP,Tissue enhanced,breast: 4883.1
4429,MIA,Tissue enhanced,breast: 62.9;stomach: 50.0
4430,MIA2,Tissue enhanced,epididymis: 3.7
4431,MIB2,Tissue enhanced,skeletal muscle: 12.4
4432,MICALCL,Tissue enhanced,skin: 17.3;testis: 13.4
4433,MICB,Tissue enhanced,lymph node: 3.2
4434,MICU3,Tissue enhanced,cerebral cortex: 34.8
4435,MINOS1-NBL1,Tissue enhanced,duodenum: 16.2;small intestine: 17.2
4436,MIOX,Tissue enriched,kidney: 821.5
4437,MIP,Tissue enhanced,testis: 1.2
4438,MISP,Group enriched,colon: 94.7;duodenum: 173.3;rectum: 52.6;small intestine: 217.1
4439,MITF,Tissue enhanced,"cervix, uterine: 80.9;endometrium: 79.3"
4440,MIXL1,Tissue enhanced,tonsil: 3.0
4441,MKI67,Tissue enhanced,bone marrow: 28.8
4442,MKRN2OS,Tissue enhanced,epididymis: 11.1
4443,MKRN3,Tissue enhanced,cerebral cortex: 5.9;placenta: 4.1;testis: 3.6
4444,MKX,Tissue enhanced,ovary: 13.6;prostate: 26.0
4445,MLANA,Tissue enriched,skin: 50.4
4446,MLC1,Tissue enriched,cerebral cortex: 180.8
4447,MLF1,Tissue enriched,testis: 671.8
4448,MLIP,Tissue enhanced,heart muscle: 112.5;liver: 67.0;skeletal muscle: 45.7
4449,MLLT11,Tissue enriched,cerebral cortex: 122.5
4450,MLN,Tissue enriched,duodenum: 253.3
4451,MLNR,Tissue enhanced,thyroid gland: 2.8
4452,MLXIPL,Tissue enhanced,adipose tissue: 60.8;duodenum: 58.7
4453,MMD,Tissue enhanced,adipose tissue: 141.5
4454,MMD2,Group enriched,cerebral cortex: 41.2;testis: 12.4
4455,MME,Tissue enhanced,duodenum: 428.2;kidney: 384.2;small intestine: 401.5
4456,MMEL1,Tissue enhanced,testis: 5.4
4457,MMP1,Tissue enhanced,appendix: 39.2;gallbladder: 126.4
4458,MMP10,Tissue enriched,endometrium: 443.1
4459,MMP11,Group enriched,"cervix, uterine: 31.6;endometrium: 123.1;placenta: 28.0"
4460,MMP12,Tissue enhanced,appendix: 54.6;urinary bladder: 28.7
4461,MMP13,Tissue enhanced,lung: 1.5;urinary bladder: 1.3
4462,MMP15,Tissue enhanced,thyroid gland: 70.1
4463,MMP16,Tissue enhanced,cerebral cortex: 9.6
4464,MMP17,Tissue enhanced,cerebral cortex: 24.0
4465,MMP19,Tissue enhanced,adipose tissue: 64.2;gallbladder: 97.3
4466,MMP2,Tissue enhanced,gallbladder: 1682.1
4467,MMP20,Tissue enriched,testis: 1.1
4468,MMP21,Tissue enriched,epididymis: 59.2
4469,MMP24,Tissue enhanced,cerebral cortex: 10.6
4470,MMP25,Tissue enhanced,appendix: 23.3;bone marrow: 24.7;spleen: 20.7
4471,MMP26,Tissue enriched,endometrium: 23.9
4472,MMP27,Group enriched,breast: 6.0;skin: 2.8
4473,MMP28,Tissue enhanced,testis: 6.5
4474,MMP3,Tissue enhanced,appendix: 26.5;endometrium: 58.6
4475,MMP7,Tissue enhanced,gallbladder: 820.8
4476,MMP8,Tissue enriched,bone marrow: 335.8
4477,MMP9,Tissue enhanced,bone marrow: 252.6;lymph node: 117.7
4478,MMS22L,Tissue enhanced,testis: 12.4
4479,MN1,Tissue enhanced,skeletal muscle: 22.0
4480,MND1,Tissue enhanced,testis: 28.8
4481,MNDA,Tissue enhanced,bone marrow: 194.8;spleen: 144.9
4482,MNS1,Group enriched,fallopian tube: 33.7;testis: 86.9
4483,MNX1,Tissue enhanced,duodenum: 7.3;small intestine: 6.7
4484,MOBP,Tissue enriched,cerebral cortex: 175.9
4485,MOGAT1,Tissue enriched,gallbladder: 30.7
4486,MOGAT2,Group enriched,colon: 12.5;duodenum: 37.2;liver: 12.1;rectum: 12.5;small intestine: 43.6
4487,MOGAT3,Group enriched,colon: 11.3;duodenum: 30.4;rectum: 11.9;small intestine: 33.6
4488,MOK,Tissue enhanced,testis: 71.8
4489,MORC1,Tissue enriched,testis: 29.7
4490,MORN1,Tissue enhanced,fallopian tube: 17.7
4491,MORN3,Tissue enhanced,fallopian tube: 6.7
4492,MORN5,Group enriched,fallopian tube: 175.5;testis: 106.4
4493,MOV10L1,Tissue enriched,testis: 39.9
4494,MOXD1,Tissue enhanced,endometrium: 106.1;smooth muscle: 114.5
4495,MPC1L,Tissue enriched,testis: 12.0
4496,MPEG1,Tissue enhanced,spleen: 283.2
4497,MPO,Tissue enriched,bone marrow: 2499.6
4498,MPP2,Tissue enhanced,cerebral cortex: 37.9;epididymis: 33.0;parathyroid gland: 43.8
4499,MPP4,Tissue enhanced,skin: 1.0
4500,MPP6,Tissue enhanced,gallbladder: 29.9;testis: 45.3
4501,MPPED1,Tissue enriched,cerebral cortex: 39.4
4502,MPPED2,Tissue enhanced,"cervix, uterine: 38.7;thyroid gland: 43.7"
4503,MPZL2,Tissue enhanced,esophagus: 209.1
4504,MRAP,Group enriched,adipose tissue: 52.7;adrenal gland: 65.2
4505,MRAP2,Tissue enhanced,cerebral cortex: 21.0
4506,MRC1,Tissue enhanced,lung: 179.9
4507,MRGBP,Tissue enriched,testis: 64.3
4508,MRGPRE,Tissue enhanced,"cervix, uterine: 1.0"
4509,MRGPRG,Tissue enriched,testis: 1.5
4510,MRGPRX2,Tissue enhanced,breast: 1.2;skin: 1.2
4511,MRGPRX3,Tissue enhanced,salivary gland: 1.3
4512,MRLN,Tissue enhanced,skeletal muscle: 65.4
4513,MRO,Tissue enhanced,cerebral cortex: 27.5;kidney: 25.5;testis: 54.7
4514,MROH2A,Group enriched,testis: 3.2;thyroid gland: 2.7
4515,MROH2B,Tissue enriched,testis: 41.8
4516,MROH7,Tissue enriched,testis: 49.5
4517,MROH8,Tissue enhanced,testis: 41.1
4518,MROH9,Group enriched,fallopian tube: 3.9;lung: 1.2;testis: 2.7
4519,MS4A1,Group enriched,appendix: 240.0;lymph node: 770.3;spleen: 468.8;tonsil: 789.8
4520,MS4A10,Group enriched,duodenum: 74.2;small intestine: 95.8
4521,MS4A12,Group enriched,colon: 235.5;rectum: 280.6
4522,MS4A13,Tissue enriched,testis: 5.3
4523,MS4A14,Tissue enriched,testis: 91.8
4524,MS4A15,Tissue enriched,lung: 71.4
4525,MS4A18,Tissue enhanced,breast: 10.3;duodenum: 23.9
4526,MS4A2,Tissue enhanced,lung: 24.8
4527,MS4A3,Tissue enriched,bone marrow: 305.3
4528,MS4A4A,Tissue enhanced,placenta: 102.2
4529,MS4A5,Tissue enriched,testis: 73.1
4530,MS4A6E,Tissue enriched,testis: 61.9
4531,MS4A7,Tissue enhanced,spleen: 316.0
4532,MS4A8,Tissue enhanced,duodenum: 186.5;fallopian tube: 226.5;small intestine: 210.9
4533,MSANTD1,Group enriched,cerebral cortex: 1.9;testis: 2.4
4534,MSANTD3-TMEFF1,Tissue enhanced,cerebral cortex: 48.0
4535,MSH4,Group enriched,epididymis: 2.3;testis: 7.7
4536,MSI1,Tissue enhanced,cerebral cortex: 17.5;testis: 14.6
4537,MSLN,Group enriched,fallopian tube: 445.8;lung: 105.4
4538,MSMB,Tissue enriched,prostate: 15294.0
4539,MSMP,Tissue enriched,placenta: 1.8
4540,MSR1,Tissue enhanced,lung: 187.7
4541,MSS51,Group enriched,parathyroid gland: 162.6;skeletal muscle: 81.4
4542,MST1,Tissue enhanced,liver: 144.2
4543,MST1R,Tissue enhanced,skin: 69.4
4544,MSTN,Tissue enhanced,skeletal muscle: 3.4
4545,MSX1,Group enriched,"cervix, uterine: 61.1;endometrium: 23.7"
4546,MSX2,Tissue enhanced,placenta: 47.8
4547,MT1A,Tissue enhanced,adipose tissue: 258.9
4548,MT1B,Tissue enhanced,duodenum: 1.3;liver: 3.2
4549,MT1F,Tissue enhanced,kidney: 285.2;thyroid gland: 817.7
4550,MT1G,Tissue enhanced,kidney: 2350.1;thyroid gland: 4892.2
4551,MT1H,Tissue enhanced,kidney: 501.3;small intestine: 335.4;thyroid gland: 541.2
4552,MT1HL1,Tissue enriched,heart muscle: 2.8
4553,MT1M,Tissue enhanced,adipose tissue: 110.2
4554,MT3,Tissue enriched,cerebral cortex: 738.6
4555,MT4,Tissue enriched,skin: 13.7
4556,MTFR2,Tissue enhanced,testis: 12.7
4557,MTMR7,Tissue enhanced,cerebral cortex: 22.9;parathyroid gland: 15.2
4558,MTNR1A,Tissue enhanced,kidney: 2.2;testis: 1.9
4559,MTNR1B,Tissue enhanced,placenta: 1.4
4560,MTTP,Group enriched,duodenum: 236.3;liver: 133.9;small intestine: 292.6
